image_path,label
https://i.imgur.com/lNdFcZo.jpeg,civilian
https://i.imgur.com/P8rKl3A.jpeg,civilian
https://i.imgur.com/ZXYyCrp.jpeg,civilian
https://i.imgur.com/s2P7Kds.jpeg,civilian
https://i.imgur.com/hZQlkD2.jpeg,civilian
https://i.imgur.com/an3BWw2.jpeg,civilian
https://i.imgur.com/XCxLcWP.jpeg,civilian
https://i.imgur.com/DJUA9Jo.jpeg,civilian
https://i.imgur.com/LFoQ9CY.jpeg,civilian
https://i.imgur.com/1SVRDU1.jpeg,civilian
https://i.imgur.com/cW864d8.jpeg,civilian
https://i.imgur.com/b9PRlrY.jpeg,civilian
https://i.imgur.com/wdfNMWE.jpeg,civilian
https://i.imgur.com/gnqfr5v.jpeg,civilian
https://i.imgur.com/4avBg5j.jpeg,civilian
https://i.imgur.com/HsamBjx.jpeg,military
https://i.imgur.com/YzFQtqb.jpeg,military
https://i.imgur.com/pq12De3.jpeg,military
https://i.imgur.com/O6cRdkw.jpeg,military
https://i.imgur.com/vYlhdBK.jpeg,military
https://i.imgur.com/3XrMFOu.jpeg,military
https://i.imgur.com/qDJmWMX.jpeg,military
https://i.imgur.com/qRFX53O.jpeg,military
https://i.imgur.com/2lK0eTY.jpeg,military
https://i.imgur.com/LFUSNJS.jpeg,military
https://i.imgur.com/SIzzZEr.jpeg,military
https://i.imgur.com/V0O0305.jpeg,military
https://i.imgur.com/tCDACE2.jpeg,military
https://i.imgur.com/uM52BjH.jpeg,military
https://i.imgur.com/ck0qc25.jpeg,military
