image_path,label
https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Airbus_320-200_Wizz_Air_2_c.JPG/640px-Airbus_320-200_Wizz_Air_2_c.JPG,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/BOEING_737_NG_-_MSN_30693_-_SP-ESK_Enter_Air_at_LFBT_airport.jpg/640px-BOEING_737_NG_-_MSN_30693_-_SP-ESK_Enter_Air_at_LFBT_airport.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Hannover_Airport_Helvetic_Airways_Embraer_E190-E2_HB-AZE_%28DSC09329%29.jpg/640px-Hannover_Airport_Helvetic_Airways_Embraer_E190-E2_HB-AZE_%28DSC09329%29.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Learjet_45_N45VA_FDK_MD1.jpg/640px-Learjet_45_N45VA_FDK_MD1.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Hannover_Airport_Saudi_Medevac_Gulfstream_Aerospace_G-V_Gulfstream_V_HZ-MS5B_%28DSC07204%29.jpg/640px-Hannover_Airport_Saudi_Medevac_Gulfstream_Aerospace_G-V_Gulfstream_V_HZ-MS5B_%28DSC07204%29.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Dassault_Falcon_8X%2C_Paris_Air_Show_2019%2C_Le_Bourget_%28SIAE8623%29.jpg/640px-Dassault_Falcon_8X%2C_Paris_Air_Show_2019%2C_Le_Bourget_%28SIAE8623%29.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Unidentified_civil_aircraft_at_Manchester_Airport%2C_2017_%2837537732281%29.jpg/640px-Unidentified_civil_aircraft_at_Manchester_Airport%2C_2017_%2837537732281%29.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Boeing_737_Victoria_Bridge_Brisbane_P1250879.jpg/640px-Boeing_737_Victoria_Bridge_Brisbane_P1250879.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/United_Boeing_737.jpg/640px-United_Boeing_737.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Boeing_737_101_Sugarmill_Rd_Meeandah_IMGP7354.jpg/640px-Boeing_737_101_Sugarmill_Rd_Meeandah_IMGP7354.jpg,civilian
https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Boeing_737_Gateway_Bridge_Eagle_Farm_IMGP3909.jpg/640px-Boeing_737_Gateway_Bridge_Eagle_Farm_IMGP3909.jpg,civilian
